City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,34.41,98,100,10.92,GS,1689959927
1,mount pearl,47.5166,-52.7813,84.45,62,20,17.27,CA,1689959904
2,mtwara,-10.2667,40.1833,79.14,56,100,13.33,TZ,1689960056
3,olonkinbyen,70.9221,-8.7187,41.38,79,100,4.45,SJ,1689959729
4,kodiak,57.79,-152.4072,53.11,82,0,0.0,US,1689959999
5,adamstown,-25.066,-130.1015,69.84,72,50,29.93,PN,1689959927
6,roma,43.2128,-75.4557,75.72,60,100,5.75,US,1689959839
7,isabela,6.7085,121.9711,78.49,89,51,4.34,PH,1689960056
8,fortuna,40.5982,-124.1573,59.67,96,100,3.44,US,1689959780
9,bhimunipatnam,17.8833,83.4333,81.91,82,90,9.28,IN,1689960057
10,ambovombe,-25.1667,46.0833,65.19,66,99,17.9,MG,1689960057
11,roswell,34.0232,-84.3616,89.85,61,0,11.5,US,1689960057
12,laguna,38.421,-121.4238,95.09,43,0,4.61,US,1689960057
13,port-aux-francais,-49.35,70.2167,33.3,60,80,40.35,TF,1689959674
14,cockburn town,21.4612,-71.1419,82.96,78,99,13.24,TC,1689959832
15,la passe,45.5549,-0.8967,75.43,58,2,14.74,FR,1689960058
16,malax,62.9423,21.5731,64.35,68,100,6.91,FI,1689960058
17,nova sintra,14.8667,-24.7167,74.08,83,22,12.44,CV,1689960058
18,fort bragg,35.139,-79.006,93.34,50,20,14.97,US,1689960059
19,waitangi,-43.9535,-176.5597,51.82,94,100,8.01,NZ,1689959925
20,nuku'alofa,-21.1333,-175.2,71.94,94,40,9.22,TO,1689960059
21,kerikeri,-35.2268,173.9474,48.9,87,97,1.01,NZ,1689960035
22,uturoa,-16.7333,-151.4333,76.32,62,84,15.26,PF,1689959939
23,soio,-6.1349,12.3689,72.9,77,39,12.24,AO,1689959856
24,aasiaat,68.7098,-52.8699,40.41,92,100,17.36,GL,1689959845
25,invercargill,-46.4,168.35,32.02,99,20,1.99,NZ,1689959930
26,chonchi,-42.6128,-73.8092,48.11,91,100,7.78,CL,1689959871
27,puerto natales,-51.7236,-72.4875,29.77,94,100,8.55,CL,1689959841
28,al jawf,29.5,38.75,95.52,11,0,4.43,SA,1689960061
29,punta arenas,-53.15,-70.9167,28.51,100,100,6.91,CL,1689959926
30,bambanglipuro,-7.95,110.2833,72.72,85,13,7.65,ID,1689960061
